"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"204","Kendrick Nunn","LAL","PG,SG","177","281","218.1","30.5"
"205","Justin Holiday","ATL","SG,SF","175","299","219.0","39.3"
"206","Kemba Walker","FA","PG FA","87","310","200.7","87.6"
"207","Ricky Rubio","CLE","PG","167","287","219.4","42.3"
"208","Jalen Duren","DET","C","147","246","201.3","36.9"
"209","Cameron Payne","PHO","PG,SG","198","233","220.6","11.7"
"210","Jaxson Hayes","NOR","C","152","242","220.9","29.4"
"211","Franz Wagner","ORL","SG,SF DTD","64","361","145.3","124.7"
"212","Terance Mann","LAC","SF,SG","199","256","221.6","17.0"
"213","Delon Wright","WAS","PG,SG","187","273","224.4","23.6"
"214","Terrence Ross","ORL","SG,SF","165","306","224.6","56.6"
"215","Bennedict Mathurin","IND","SF","121","163","146.3","16.3"
"216","Luke Kennard","LAC","SG,SF DTD","214","260","227.3","15.0"
"217","Danilo Gallinari","BOS","SF,PF OUT","155","330","212.7","57.8"
"218","Nicolas Batum","LAC","SF,PF,SG","202","286","229.7","28.4"
"219","Cam Reddish","NYK","SG,SF","194","269","212.8","26.0"
"220","Hassan Whiteside","FA","PF,C FA","185","321","213.3","49.0"
"221","Derrick Favors","OKC","C,PF","130","319","213.8","71.4"
"222","Khem Birch","TOR","PF,C","159","309","214.3","48.2"
"223","Tre Jones","SAS","PG DTD","92","321","159.0","94.4"
"224","Jarred Vanderbilt","UTH","PF,C","96","320","160.3","92.5"
"225","Facundo Campazzo","DEN","PG","168","312","218.7","45.0"
"226","Juan Toscano-Anderson","LAL","SF,PF","201","291","236.1","26.2"
"227","Onyeka Okongwu","ATL","PF,C","101","314","165.0","87.0"
"228","Eric Bledsoe","FA","PG,SG FA","144","324","198.4","63.9"
"229","Davis Bertans","DAL","PF,C DTD","185","310","221.3","41.2"
"230","Walker Kessler","UTH","C","107","220","166.5","42.6"
"231","Danny Green","MEM","SG,SF OUT","139","309","222.3","66.1"
"232","Goran Dragic","CHI","PG,SG","186","311","224.7","41.7"
"233","Eric Gordon","HOU","SG,SF DTD","198","313","240.0","38.7"
"234","Daniel Theis","IND","PF,C","157","314","225.0","62.1"
"235","Bones Hyland","DEN","PG,SG","113","313","173.8","82.0"
"236","Dewayne Dedmon","MIA","C","230","279","242.4","15.9"
"237","KJ Martin Jr.","HOU","SF,PF","227","276","242.7","20.6"
"238","Dwight Powell","DAL","PF,C","231","274","243.6","13.1"
"239","Naz Reid","MIN","C","225","270","244.0","13.1"
"240","Isaiah Hartenstein","NYK","PF,C","115","329","182.8","86.0"
"241","Chris Duarte","IND","SG DTD","130","323","185.3","79.8"
"242","Alex Caruso","CHI","PG,SG","78","317","185.5","86.0"
"243","Moses Moody","GSW","SF,SG","188","249","216.4","26.7"
"244","Moses Brown","CLE","C","199","317","238.7","37.1"
"245","JaVale McGee","DAL","C","105","363","200.5","99.0"
"246","Theo Maledon","OKC","PG","214","313","239.2","34.3"
"247","Doug McDermott","SAS","SF,PF DTD","241","286","254.1","16.0"
"248","Jalen McDaniels","CHA","PF,C","112","282","223.6","59.8"
"249","Tyus Jones","MEM","PG","93","338","199.5","88.1"
"250","Serge Ibaka","MIL","PF,C","188","316","244.2","51.4"
"251","Tari Eason","HOU","SF","150","269","201.5","42.8"
"252","Dario Saric","PHO","PF,C OUT","239","303","259.6","22.1"
"253","Rudy Gay","UTH","SF,PF","208","315","248.5","42.9"
"254","Blake Griffin","FA","PF,C FA","189","329","233.8","49.2"
"255","Malachi Flynn","TOR","PG","215","319","250.8","36.1"
"256","Ayo Dosunmu","CHI","PG,SG","143","346","216.8","77.1"
"257","LaMarcus Aldridge","FA","PF,C FA","203","323","253.0","42.8"
"258","Cody Zeller","FA","C FA","195","326","237.4","45.7"
"259","Carmelo Anthony","FA","SF,PF FA","209","320","237.6","41.4"
"260","Isaiah Jackson","IND","PF","85","322","214.3","104.1"
"261","Dwight Howard","FA","C FA","207","327","239.6","44.2"
"262","Tomas Satoransky","FA","PG,SG FA","204","322","240.4","41.9"
"263","Kentavious Caldwell-Pope","DEN","PG,SG,SF","128","362","227.5","89.4"
"264","Davion Mitchell","SAC","SG,PG OUT","164","343","223.0","71.2"
"265","Grayson Allen","MIL","SG,SF DTD","169","334","223.5","65.1"
"266","Paul Millsap","FA","PF,C FA","210","318","245.0","37.5"
"267","DeAndre Jordan","DEN","C","227","317","260.2","40.1"
"268","Gary Payton II","POR","PG,SG","157","326","225.0","70.5"
"269","Jeremy Lamb","FA","SG,SF FA","214","238","228.0","10.0"
"270","Enes Freedom","FA","C FA","184","328","249.2","58.5"
"271","Cody Martin","CHA","SG,SF DTD","144","327","230.0","67.4"
"272","Caleb Martin","MIA","G DTD","151","330","230.8","66.8"
"273","Grant Williams","BOS","SF,PF","162","335","234.3","67.0"
"274","Tristan Thompson","FA","PF,C FA","222","240","233.8","7.2"
"275","Josh Jackson","TOR","SG,SF","235","308","256.6","26.2"
"276","Max Strus","MIA","SG,SF DTD","178","331","239.0","58.7"
"277","Deni Avdija","WAS","SG,SF,PF","174","340","242.0","62.5"
"278","Mark Williams","CHA","C","190","310","240.0","50.8"
"279","Pat Connaughton","MIL","SG,SF DTD","168","324","240.3","55.9"
"280","Shake Milton","PHI","PG,SG DTD","244","309","259.4","25.1"
"281","Lou Williams","FA","PG,SG FA","236","318","260.6","29.2"
"282","Malik Monk","SAC","PG,SG","174","328","243.3","64.1"
"283","Jose Alvarado","NOR","PG","185","315","244.3","53.4"
"284","Quentin Grimes","NYK","SG","191","339","248.5","60.5"
"285","Nassir Little","POR","SF","182","332","247.0","59.7"
"286","Jalen Williams","OKC","SG","210","301","249.3","36.3"
"287","Zach Collins","SAS","PF,C DTD","172","337","258.3","64.3"
"288","Trey Murphy III","NOR","SG,SF","209","341","259.3","51.5"
"289","JaMychal Green","GSW","PF,C","145","227","186.0","41.0"
"290","Joshua Primo","SAS","SG DTD","204","336","260.5","49.5"
"291","Austin Reaves","LAL","SG","193","325","259.8","47.4"
"292","Damian Jones","LAL","C","175","316","266.5","56.8"
"293","Jeremy Sochan","SAS","PF","255","289","266.5","13.2"
"294","Cam Thomas","BKN","SG","226","318","268.8","32.9"
"295","Isaiah Livers","DET","SF,PF","184","348","253.3","69.3"
"296","Talen Horton-Tucker","UTH","SG,SF","225","345","273.5","44.1"
"297","Josh Christopher","HOU","SG","212","333","270.8","46.9"
"298","Drew Eubanks","POR","PF,C","223","355","277.3","53.6"
"299","Jaylen Nowell","MIN","SG DTD","241","344","275.3","40.7"
"300","Malaki Branham","SAS","SG","264","281","273.5","6.3"
"301","Ziaire Williams","MEM","SF,SG DTD","207","349","264.0","61.3"
"302","Gabe Vincent","MIA","PG,SG DTD","215","356","268.3","62.5"
"303","Dyson Daniels","NOR","G","265","297","278.3","13.4"
"304","Trendon Watford","POR","SF,PF OUT","233","288","261.3","22.5"
"305","Paul Reed","PHI","SF,PF","236","360","286.3","48.3"
"306","Tre Mann","OKC","SG,PG","245","351","284.0","40.1"
"307","Corey Kispert","WAS","SG,SF","256","267","261.7","4.5"
"308","Chimezie Metu","SAC","PF,C","166","288","227.0","61.0"
"309","Ty Jerome","OKC","PG,SG","249","280","262.3","13.0"
"310","Ochai Agbaji","UTH","G","270","290","281.0","8.7"
"311","Day'Ron Sharpe","BKN","PF,C","246","352","290.8","39.7"
